Ticker,Buy/Sell,Date,Price
TECH,Buy,2023-08-21,78.56
DE,Buy,2023-08-21,396.02
PTC,Buy,2023-08-21,140.4
ACN,Buy,2023-08-21,304.22
AOS,Buy,2023-08-21,68.87
DHI,Buy,2023-08-18,115.67
LEN,Buy,2023-08-18,116.23
JBHT,Buy,2023-08-18,188.18
POOL,Buy,2023-08-18,347.72
MAS,Buy,2023-08-18,56.24
OTIS,Buy,2023-08-18,83.18
NFLX,Buy,2023-08-18,399.33
PEP,Buy,2023-08-18,178.46
UNH,Buy,2023-08-18,494.78
CI,Buy,2023-08-18,270.66
WMT,Buy,2023-08-18,51.77
UAL,Buy,2023-08-18,48.79
COST,Buy,2023-08-18,546.92
FSLR,Buy,2023-08-18,180.76
MLM,Buy,2023-08-18,428.47
PAYX,Buy,2023-08-18,120.46
WAT,Buy,2023-08-18,272.05
INTC,Buy,2023-08-18,32.23
ON,Buy,2023-08-18,89.04
DPZ,Buy,2023-08-18,380.45
VMC,Buy,2023-08-18,211.64
BF-B,Buy,2023-08-18,67.41
CPRT,Buy,2023-08-18,42.93
CAH,Buy,2023-08-18,86.48
HII,Buy,2023-08-18,219.78
BLDR,Buy,2023-08-18,128.95
SNA,Buy,2023-08-18,264.88
AME,Buy,2023-08-18,152.56
CVS,Buy,2023-08-18,66.8
MPWR,Buy,2023-08-17,495.35
SWK,Buy,2023-08-17,91.98
BALL,Buy,2023-08-17,55.06
JBL,Buy,2023-08-17,104
KIM,Buy,2023-08-17,19.26
IRM,Buy,2023-08-17,59.19
NTAP,Buy,2023-08-17,75.95
A,Buy,2023-08-17,122
JKHY,Buy,2023-08-17,156.2
RF,Buy,2023-08-17,19.62
TDG,Buy,2023-08-17,861.17
KR,Buy,2023-08-17,47.1
AMT,Buy,2023-08-17,177.65
STZ,Buy,2023-08-17,262.91
TSLA,Buy,2023-08-17,226.06
CCL,Buy,2023-08-17,16.26
CE,Buy,2023-08-16,118.48
USB,Buy,2023-08-16,37.44
TFC,Buy,2023-08-16,29.56
WFC,Buy,2023-08-16,42.66
AIG,Buy,2023-08-16,58.78
PRU,Buy,2023-08-16,92.99
CMA,Buy,2023-08-16,47.5
CHRW,Buy,2023-08-16,94.46
AMP,Buy,2023-08-16,335.64
GS,Buy,2023-08-16,330.54
NTRS,Buy,2023-08-16,76.44
CL,Buy,2023-08-16,74.77
FCX,Buy,2023-08-16,39.6
BEN,Buy,2023-08-16,26.82
NKE,Buy,2023-08-16,106.07
REG,Buy,2023-08-16,63.14
GLW,Buy,2023-08-16,31.65
CFG,Buy,2023-08-16,28.21
ARE,Buy,2023-08-16,116.3
PNC,Buy,2023-08-16,122.98
JPM,Buy,2023-08-16,150.6
KEY,Buy,2023-08-16,10.62
BAC,Buy,2023-08-16,29.75
NDSN,Buy,2023-08-16,236.04
SYF,Buy,2023-08-16,33.51
HPQ,Buy,2023-08-16,31.72
FRT,Buy,2023-08-16,99.37
RJF,Buy,2023-08-16,104.77
HBAN,Buy,2023-08-16,11.27
SYY,Buy,2023-08-15,70.54
SCHW,Buy,2023-08-15,61
DLTR,Buy,2023-08-15,145.54
FITB,Buy,2023-08-15,26.31
COF,Buy,2023-08-15,107.44
BX,Buy,2023-08-14,98.1
ABNB,Buy,2023-08-14,133.56
NXPI,Buy,2023-08-14,203.1
QRVO,Buy,2023-08-14,101.24
UPS,Buy,2023-08-14,176.12
TER,Buy,2023-08-14,101.73
F,Buy,2023-08-11,12.12
NVR,Buy,2023-08-11,6078.46
RL,Buy,2023-08-11,122.24
TPR,Buy,2023-08-11,34.7
ITW,Buy,2023-08-11,241
COO,Buy,2023-08-11,94.1
SWKS,Buy,2023-08-10,108.58
