,Ticker,Buy/Sell,Date,Price
3,KO,Sell,2023-11-24,58.46
1,DHR,Sell,2023-11-22,218.92
1,TMO,Sell,2023-11-22,486.08
3,A,Sell,2023-11-22,123.87
1,WAT,Sell,2023-11-22,275.79
1,TXN,Sell,2023-11-20,154.02
3,ES,Sell,2023-11-20,58.06
3,CSX,Sell,2023-11-20,31.5
1,TSN,Sell,2023-11-20,48.45
3,PRU,Sell,2023-11-20,93.96
5,HCA,Sell,2023-11-20,245.03
3,ROK,Sell,2023-11-17,275.0
5,INTC,Sell,2023-11-17,42.91
3,MDT,Sell,2023-11-17,75.14
1,JPM,Sell,2023-11-17,152.2
5,ICE,Sell,2023-11-17,112.65
1,NSC,Sell,2023-11-16,208.0
3,WFC,Sell,2023-11-16,42.82
1,STT,Sell,2023-11-16,69.59
3,BX,Sell,2023-11-16,104.03
1,CTSH,Sell,2023-11-16,68.67
3,ZBH,Sell,2023-11-16,110.76
1,PYPL,Sell,2023-11-16,57.96
3,IRM,Sell,2023-11-16,62.24
3,MOS,Sell,2023-11-16,36.84
3,ABNB,Sell,2023-11-16,127.12
1,BAX,Sell,2023-11-16,35.29
3,IPG,Sell,2023-11-16,30.24
1,NCLH,Sell,2023-11-16,14.49
3,WMT,Sell,2023-11-16,52.92
1,TSCO,Sell,2023-11-16,206.74
3,JBHT,Sell,2023-11-16,182.57
1,FCX,Sell,2023-11-16,35.89
1,UNP,Sell,2023-11-16,218.36
3,PLD,Sell,2023-11-16,110.72
1,CZR,Sell,2023-11-16,46.31
1,DOV,Sell,2023-11-16,138.82
3,ABT,Sell,2023-11-16,97.72
1,TGT,Sell,2023-11-16,127.26
1,IEX,Sell,2023-11-16,198.75
3,TSLA,Sell,2023-11-16,239.49
1,HD,Sell,2023-11-15,304.1
3,LYB,Sell,2023-11-15,96.37
1,KEYS,Sell,2023-11-15,130.11
3,ITW,Sell,2023-11-15,237.11
3,LOW,Sell,2023-11-15,202.44
3,TTWO,Sell,2023-11-15,153.64
3,NVR,Sell,2023-11-15,6275.0
1,DAL,Sell,2023-11-15,35.51
3,IDXX,Sell,2023-11-15,454.69
3,ADSK,Sell,2023-11-15,217.21
1,ISRG,Sell,2023-11-15,291.39
3,SMCI,Sell,2023-11-15,294.95
3,INVH,Sell,2023-11-15,33.44
1,INTU,Sell,2023-11-15,558.99
3,HUBB,Sell,2023-11-15,296.56
1,TPR,Sell,2023-11-15,30.9
1,SYY,Sell,2023-11-15,69.33
1,TEL,Sell,2023-11-15,131.22
1,JKHY,Sell,2023-11-15,153.37
3,ATO,Sell,2023-11-15,113.49
3,EFX,Sell,2023-11-15,196.6
1,PWR,Sell,2023-11-15,184.14
1,QRVO,Sell,2023-11-15,94.95
3,ADI,Sell,2023-11-15,179.02
3,ANSS,Sell,2023-11-15,299.24
3,ARE,Sell,2023-11-15,105.31
1,MAR,Sell,2023-11-15,203.39
1,ALLE,Sell,2023-11-15,106.38
1,RL,Sell,2023-11-15,122.0
1,AAL,Sell,2023-11-15,12.35
1,AME,Sell,2023-11-15,154.68
1,MHK,Sell,2023-11-15,86.2
1,APH,Sell,2023-11-15,89.04
3,OTIS,Sell,2023-11-15,84.15
1,MGM,Sell,2023-11-15,40.26
5,FDX,Sell,2023-11-15,253.93
1,EXR,Sell,2023-11-15,129.11
3,MCHP,Sell,2023-11-15,82.01
1,META,Sell,2023-11-15,337.93
1,URI,Sell,2023-11-15,478.0
3,AVY,Sell,2023-11-15,188.59
1,CE,Sell,2023-11-15,125.68
1,UAL,Sell,2023-11-15,39.71
3,PPG,Sell,2023-11-15,133.7
1,MS,Sell,2023-11-15,78.57
3,POOL,Sell,2023-11-15,351.31
1,DOW,Sell,2023-11-15,51.19
3,PNC,Sell,2023-11-15,126.59
3,NTAP,Sell,2023-11-15,78.71
1,SHW,Sell,2023-11-15,266.34
1,VMC,Sell,2023-11-15,217.34
1,BLDR,Sell,2023-11-15,133.58
1,NDSN,Sell,2023-11-15,232.95
1,CSGP,Sell,2023-11-15,83.05
1,GLW,Sell,2023-11-15,28.65
1,KMX,Sell,2023-11-15,68.35
1,CCL,Sell,2023-11-15,14.19
1,NXPI,Sell,2023-11-15,196.43
3,CRM,Sell,2023-11-15,220.75
1,HSY,Sell,2023-11-14,195.5
1,BA,Sell,2023-11-14,207.25
1,BKNG,Sell,2023-11-14,3165.76
5,BSX,Sell,2023-11-14,54.11
3,AAPL,Sell,2023-11-13,185.82
5,AMAT,Sell,2023-11-13,149.0
3,PCAR,Sell,2023-11-13,88.2
3,LRCX,Sell,2023-11-13,680.0
1,GE,Sell,2023-11-13,115.14
1,HOLX,Sell,2023-11-13,72.14
1,FFIV,Sell,2023-11-13,158.22
1,FICO,Sell,2023-11-13,998.08
1,BRO,Sell,2023-11-13,72.94
3,DIS,Sell,2023-11-10,90.13
1,TDG,Sell,2023-11-10,985.33
1,DVA,Sell,2023-11-09,84.87
3,MMC,Sell,2023-11-09,197.23
1,NKE,Sell,2023-11-08,109.37
1,GEN,Sell,2023-11-08,18.95
1,UBER,Sell,2023-11-08,50.04
1,ULTA,Sell,2023-11-08,397.01
1,CTAS,Sell,2023-11-08,527.56
3,CLX,Sell,2023-11-07,128.54
3,KEY,Sell,2023-11-06,11.69
1,D,Sell,2023-11-06,44.01
5,DPZ,Sell,2023-11-06,362.53
1,BLK,Sell,2023-11-06,656.62
1,HBAN,Sell,2023-11-06,10.64
1,DTE,Sell,2023-11-06,100.15
1,ECL,Sell,2023-11-06,174.07
1,BAC,Sell,2023-11-06,28.56
1,DXCM,Sell,2023-11-06,97.78
3,RMD,Sell,2023-11-06,153.94
1,PARA,Sell,2023-11-06,13.09
1,DRI,Sell,2023-11-06,149.77
1,LHX,Sell,2023-11-06,185.5
3,SNA,Sell,2023-11-06,270.32
1,SPGI,Sell,2023-11-06,382.21
1,MCO,Sell,2023-11-06,331.24
1,RCL,Sell,2023-11-06,92.37
3,MAS,Sell,2023-11-06,54.8
3,MU,Sell,2023-11-06,72.58
1,SWK,Sell,2023-11-06,88.75
1,MSI,Sell,2023-11-06,299.0
1,BXP,Sell,2023-11-06,58.36
1,HST,Sell,2023-11-06,16.76
1,STZ,Sell,2023-11-06,242.38
3,AMCR,Sell,2023-11-06,9.09
3,FE,Sell,2023-11-06,36.45
1,EXPE,Sell,2023-11-06,113.8
3,MMM,Sell,2023-11-06,78.45
3,FITB,Sell,2023-11-06,26.45
3,GS,Sell,2023-11-06,326.66
1,TFC,Sell,2023-11-06,31.3
1,AES,Sell,2023-11-06,16.63
1,HPQ,Sell,2023-11-06,27.5
1,GEHC,Sell,2023-11-06,71.67
1,BEN,Sell,2023-11-06,24.18
3,XYL,Sell,2023-11-06,96.49
3,WBD,Sell,2023-11-06,11.61
1,IT,Sell,2023-11-06,387.81
1,IFF,Sell,2023-11-06,72.13
5,C,Sell,2023-11-06,42.37
1,CBRE,Sell,2023-11-06,75.67
3,PODD,Sell,2023-11-06,163.36
1,BALL,Sell,2023-11-06,51.2
3,WY,Sell,2023-11-06,30.87
5,ED,Sell,2023-11-03,91.8
1,MDLZ,Sell,2023-11-03,68.65
3,BF-B,Sell,2023-11-03,58.62
1,MNST,Sell,2023-11-03,57.24
1,TRGP,Sell,2023-11-03,90.11
5,RSG,Sell,2023-11-03,152.73
3,PEP,Sell,2023-11-03,168.68
3,EVRG,Sell,2023-11-03,51.86
1,PSX,Sell,2023-11-03,117.76
3,PPL,Sell,2023-11-03,25.53
1,TFX,Sell,2023-11-03,211.88
3,WELL,Sell,2023-11-03,88.8
1,FRT,Sell,2023-11-03,95.52
1,COF,Sell,2023-11-03,105.87
3,PCG,Sell,2023-11-03,17.02
1,OMC,Sell,2023-11-03,77.4
1,SBUX,Sell,2023-11-03,100.62
3,K,Sell,2023-11-03,52.0
3,YUM,Sell,2023-11-03,124.26
3,REG,Sell,2023-11-03,62.74
1,AJG,Sell,2023-11-03,243.13
3,WAB,Sell,2023-11-03,110.6
3,CMS,Sell,2023-11-03,56.39
3,AWK,Sell,2023-11-03,127.16
3,PEG,Sell,2023-11-03,64.25
3,TYL,Sell,2023-11-03,408.26
1,SCHW,Sell,2023-11-03,56.41
3,SYK,Sell,2023-11-03,274.35
1,DLR,Sell,2023-11-03,132.62
3,MCD,Sell,2023-11-03,267.56
1,FI,Sell,2023-11-03,119.31
1,V,Sell,2023-11-03,245.12
1,QCOM,Sell,2023-11-03,117.95
3,KHC,Sell,2023-11-03,33.7
3,AEP,Sell,2023-11-03,80.19
3,SRE,Sell,2023-11-03,73.56
1,HWM,Sell,2023-11-03,48.78
1,LEN,Sell,2023-11-03,118.84
5,LNT,Sell,2023-11-03,52.79
3,XEL,Sell,2023-11-03,61.93
3,ANET,Sell,2023-11-02,212.26
1,MSFT,Sell,2023-11-02,347.24
1,DHI,Sell,2023-11-02,112.25
1,PHM,Sell,2023-11-02,79.31
1,KIM,Sell,2023-11-02,18.39
1,SPG,Sell,2023-11-02,114.25
1,BK,Sell,2023-11-02,43.6
5,SO,Sell,2023-11-02,67.38
1,NOW,Sell,2023-11-02,601.21
1,LIN,Sell,2023-11-02,387.47
5,ETR,Sell,2023-11-02,97.61
1,LDOS,Sell,2023-11-01,100.03
5,CMG,Sell,2023-11-01,1950.0
1,DECK,Sell,2023-10-30,580.2
5,WTW,Sell,2023-10-27,228.57
1,SBAC,Sell,2023-10-27,205.6
1,LH,Sell,2023-10-27,204.89
1,DGX,Sell,2023-10-27,130.76
3,AMT,Sell,2023-10-27,175.5
3,WM,Sell,2023-10-26,164.12
1,GIS,Sell,2023-10-26,65.65
3,VZ,Sell,2023-10-25,34.5
1,LVS,Sell,2023-10-25,47.28
1,RTX,Sell,2023-10-25,79.35
1,NFLX,Sell,2023-10-20,405.63
5,NDAQ,Sell,2023-10-19,52.02
1,ROST,Sell,2023-10-18,117.85
1,ETSY,Sell,2023-10-18,69.13
1,DFS,Sell,2023-10-18,92.17
3,DLTR,Sell,2023-10-18,114.86
1,USB,Sell,2023-10-18,34.66
1,KEY,Sell,2023-10-18,10.85
1,DG,Sell,2023-10-18,117.1
3,VFC,Sell,2023-10-18,18.41
